state,x,y
Andaman And Nicobar Islands,180,-195
Andhra Pradesh,-113,-155
Arunachal Pradesh,214,158
Assam,174,110
Bihar,40,91
Chandigarh,-129,200
Chhattisgarh,-34,-5
Dadra And Nagar Haveli And Daman And Diu,-294,-38
Delhi,-117,143
Goa,-197,-149
Gujarat,-255,18
Haryana,-158,153
Himachal Pradesh,-120,210
Jammu And Kashmir,-235,245
Jharkhand,29,46
Karnataka,-178,-170
Kerala,-168,-267
Ladakh,-135,290
Lakshadweep,-251,-251
Madhya Pradesh,-139,25
Maharashtra,-195,-70
Manipur,217,71
Meghalaya,148,85
Mizoram,206,42
Nagaland,233,110
Odisha,7,-36
Puducherry,-53,-218
Punjab,-162,186
Rajasthan,-232,110
Sikkim,112,131
Tamil Nadu,-119,-265
Telangana,-102,-93
Tripura,144,50
Uttar Pradesh,-83,116
Uttarakhand,-80,181
West Bengal,86,29
